word,definition,Example Sentence
lipossoma,,"svg|thumb|250px|Fosfolípidos organizados em lipossomas, micelas e bicapa lipídica."
liquor, ,com/seoul/drink/soju-most-sold-drink-world-930177|título=It's official: Jinro soju is the world's best-selling liquor|data=2012-06-12|publicado=CNN Travel|acessodata=2013-04-29|arquivodata=21 de fevereiro de 2014|arquivourl=https://web.
listeriose,,"Algumas destas doenças, que podem ser citadas são, entre outras, a brucelose, tuberculose, teníase, toxoplasmose, salmonelose, colibacilose, clostridioses, leptospirose, campilobacteriose, Raiva canina,listeriose, raiva, scrapie, encefalopatia espongiforme bovina (&quot;''Mal da Vaca Louca''&quot;) e a influenza aviária (&quot;gripe aviária&quot;) - todas elas potenciais zoonoses - doenças dos animais passíveis de transmissão ao ser humano -, além da febre aftosa, pestes suínas clássica e africana, anemia infecciosa equina, doença de Newcastle, doença de Aujezski, que são doenças de alto impacto econômico e poder restritivo de mercado."
litíase,,jpg|miniaturadaimagem|esquerda|Radiografia evidenciando a existência de um cálculo na bexiga de um gato.
litotripsia, O mesmo que _litotrícia_. ,"lt;ref name=NIH2013/&gt; Nos casos raros em que não é possível a remoção cirúrgica, pode ser usada medicação para tentar dissolver os cálculos ou litotripsia para os fragmentar."
lobotomia,,"Inventor do procedimento neurocirúrgico denominado  leucotomia pré-frontal, também conhecido como lobotomia, que possibilitou o surgimento da psicocirurgia, por esta última descoberta foi galardoado com o Nobel de Fisiologia ou Medicina em 1949, partilhado com o fisiologista suíço Walter Rudolf Hess."
lóbulo, Pequeno lobo. ,"Em astrofísica, a transferência de massa é o processo pelo qual matéria gravitacionalmente ligado a um corpo, geralmente uma estrela, preenche o seu lóbulo de Roche e se torna gravitacionalmente ligada a um segundo corpo, geralmente um objeto compacto (anã branca, estrela de nêutrons ou buraco negro), e, eventualmente, é acrescida a ele."
locomotor, Que opera a locomoção. ,O sistema locomotor compreende os músculos esqueléticos e os ossos do esqueleto e tem função locomotora e de proteção dos órgãos internos.
lombalgia,,lt;/ref&gt; enquanto Zahir Shah estava recebendo tratamento para problemas oculares e terapia para a lombalgia na Itália.
lordose, Encurvamento da coluna vertebral para diante. ,"As mais comuns são os traumas físicos e as doenças degenerativas como escoliose, lordose, cifose, ou a perda de minerais conhecida como osteoporose."
lúmen,,"A caveolina por meio de uma força mecânica promove a invaginação dessas áreas para a formação de cavéolas , no lúmen da cavéola existem receptores para as substâncias concentradas nele , o que torna possível a ocorrência de induções celulares mais rápidas  ."
lúpus," Inflamação cutânea, que se manifesta por pequenas protuberâncias, atacando especialmente o rosto e podendo ser seguida de úlceras. ","Outras possibilidades passavam por otosclerose, marcada pelo crescimento ósseo incomum no ouvido, sífilis terciária, envenenamento por metais pesados, lúpus, febre tifóide e sarcoidose."
luteína,,"Por exemplo, o gene Lcy-e é altamente encontrado nas folhas, o que resulta na produção do carotenoide luteína."
luvas cirúrgicas,,"lt;ref name=&quot;:0&quot; /&gt; A moderna noção de assepsia é derivada das técnicas anti-sépticas mais antigas, uma mudança de procedimentos iniciada por diferentes cientistas e médicos no século XIX, que introduziram práticas como a esterilização de instrumentos cirúrgicos e o uso de luvas cirúrgicas durante as operações."
luxação," Saída da extremidade articular de um osso, para fora da cavidade que lhe é própria, em virtude de um esforço externo ou de uma alteração orgânica. ","Num impacto violento, se os ossos de uma junta saem da sua posição normal, os médicos dizem que aconteceu uma luxação."
luz cirúrgica,,
macrofágio,,
magnésio," Metal que, combinado com o oxigénio, produz a magnésia. ",Maiores níveis de ferro e magnésio em legumes orgânicos.
magnetoterapia,,lt;ref name=&quot;AAOS2016&quot;/&gt; Não há evidências científicas que apoiem a eficácia da magnetoterapia.
malária," Febre paludosa, intermitente e remitente. É preferível o t. _sezonismo_. ","Doenças como a malária e a dengue, que são veiculadas por mosquitos, ocorrem em regiões quentes, onde o desenvolvimento do mosquito é favorecido."
mal-estar, Indisposição física ou moral. Desassossego. Doença. Situação incomoda ou molesta. Organização defeituosa. Perturbação no espírito público. ,"A crítica do cristianismo tornou-se cada vez mais frequente nos séculos XVII e XVIII, principalmente depois do Sismo de Lisboa de 1755, e em especialmente na França e na Inglaterra, onde parece ter existido um mal-estar religioso, de acordo com fontes contemporâneas."
maligno," Tendente para o mal; malicioso. Nocivo, muito mau; de má qualidade. ","Ele às vezes se referia a si mesmo como um &quot;descrente absoluto&quot;, e uma vez disse a seu gabinete que &quot;o Islã talvez fosse uma religião mais eficaz do que o Cristianismo&quot; e que &quot;o Papado era um tumor maligno no corpo da Itália e precisava ser 'extirpado de uma vez por todas', porque não havia lugar em Roma para o Papa assim como para ele&quot;."
mamografia,,"Na questão da saúde feminina, 28,5% das mulheres com mais de 40 anos fizeram exame clínico das mamas nos últimos doze meses; 45,9% das mulheres entre 50 e 69 anos fizeram exame de mamografia nos últimos dois anos; e 73,3% das mulheres entre 25 e 59 anos fizeram exame preventivo para câncer do colo do útero nos últimos três anos."
mandíbula," O mesmo que _maxila_. Cada uma das duas partes, em que se divide o bico das aves. Cada uma das duas peças móveis e duras, colocadas uma à esquerda e outra à direita da boca de certos insectos. ","lt;ref name=divergence/&gt; Muitos destes ancestrais das aves, como o ''Archaeopteryx'', não tinham plena capacidade de voo e muitos apresentavam ainda características primitivas como mandíbula em vez de bico e cauda vertebrada."
manobra," Exercício militar. Acto ou arte de dirigir convenientemente a andadura das embarcações. Faina de marinheiro; marinharia. Habilidade, destreza. Astúcia, ardil. Meio de iludir ou enganar. Prestidigitação. ","Depois desse incidente, ele foi inflado no Jardim da Aclimação de Paris no dia 18 de setembro de 1898, mas acabou rasgado antes de experimentado, devido a uma manobra mal feita pelos ajudantes que em terra seguravam as cordas do aparelho."
mantoux,,"A prova tuberculínica (também conhecida como teste tuberculínico ou teste de Mantoux) está indicada para o diagnóstico da infecção latente, mas também auxilia no diagnóstico da doença em situações especiais, como no caso de crianças com suspeita de tuberculose."
marcapasso,,com/vulnerabilities---threats/hospital-medical-devices-used-as-weapons-in-cyberattacks/d/d-id/1320751|arquivodata=29 de Maio de 2016|df=dmy-all}} e dispositivos implantados incluindo marcapassos{{citar web|url=http://www.
martelo reflexo,,
máscara cirúrgica,,"Isso explicaria o uso de máscara cirúrgicas em público, e o vício em remédios contra a dor."
mastectomia,,"Na época, desenvolveu um novo quadro de depressão, e devido a complicações do uso de silicone, desenvolveu um câncer de mama, necessitando realizar uma mastectomia."
mastite, Designação genérica de inflamações nas mamas. ,"htm|obra=Mundo Educação|acessodata=2020-06-07|lingua=pt-br|data=|publicado=|ultimo=Sardinha dos Santos|primeiro=Vanessa}} As doenças bacterianas também são importantes na agricultura, com bactérias que causam manchas nas folhas, queimadas e murchas nas plantas, assim como a doença de Johne, mastite, salmonela e antraz em animais de criação."
mastócito,,"Junto com os mastócitos, também controlam mecanismos associados com a alergia e asma."
mastologia, O mesmo que _mastozoologia_. ,"br/Artigos/Brasil/Sa%C3%BAde/Hospitais_que_se_destacam_no_Brasil/}} que, de acordo com a Sociedade Brasileira de Mastologia, atinge cerca de dois mil novos casos anualmente."
mastologia, O mesmo que _mastozoologia_. ,"br/Artigos/Brasil/Sa%C3%BAde/Hospitais_que_se_destacam_no_Brasil/}} que, de acordo com a Sociedade Brasileira de Mastologia, atinge cerca de dois mil novos casos anualmente."
mecanismo, Disposição das partes constitutivas de uma máquina. Maquinismo. Organização de um todo. ,"O primeiro historiador ou cronista a usar o Anno Domini como mecanismo de datação principal foi Vítor de Tununa, escritor africano do {{Séc|VII}}."
mediastino, Espaço entre cada uma das pleuras e a coluna vertebral. ,Cavidade pericárdica dentro do mediastino e.
medicação, Acto de medicar; tratamento terapêutico. ,"harvref|Studart|2006|p=20}} Em 1931 esteve internado em casas de saúde em Biarritz e em Orthez, no sul da França, onde tentou suicidar-se com sobredose de medicação."
medicamento," Substância, que se aplica externa ou internamente, para restabelecer a saúde; remédio. ","Dentre os produtos industrializados de maior importância são contados a cerveja, impressos, navios, metais, medicamentos e roupas."
medula," Substância amarelada ou avermelhada, contida na cavidade dos ossos longos, nas cavidades celulares das extremidades desses ossos, no díploe dos ossos chatos. Miolo, contido no caule das plantas dicotiledóneas. _Espinhal medula_, substância, que ocupa o canal formado pelos arcos das vértebras e que forma o encéfalo. ","lt;/ref&gt; O centauro encarregou-se da educação do jovem, alimentou-o com mel de abelhas, medula de ursos e de javalis e vísceras de leões."
medula óssea,,"lt;/ref&gt; O centauro encarregou-se da educação do jovem, alimentou-o com mel de abelhas, medula de ursos e de javalis e vísceras de leões."
megacólon,,"sfn|Humphries|2003|p=79}} A essa altura, já sofria de glaucoma, hipertensão, danos no fígado e megacólon, cada um ampliado — e possivelmente causado — pelo abuso de medicamentos."
melanina, O mesmo que _melaína_. ,"Os castanhos e os pretos são causados por melaninas sintetizadas pela ave e depositados em grânulos, enquanto os amarelos, laranjas e vermelhos são causados por carotenoides com origem na dieta e difundidos pela pele e penas."
melanoma, Tumor pigmentoso. ,"Em 2012, cerca de 14,1 milhões de novos casos de câncer ocorreram globalmente (excluindo casos de câncer de pele que não seja melanoma)."
membrana," Tecido orgânico, mais ou menos laminoso, que envolve certos órgãos ou segrega certos líquidos. Película, que reveste certos órgãos vegetais. Película. ",O autor procura mostrar que os tímpanos de Stephen Jay Gould na realidade não existem e são de facto exaptações.
menarca,,"lt;/ref&gt; Schmid-Tannwald e Kluge registraram uma tendência entre as meninas de terem a menarca aproximadamente 1,3 anos mais cedo do que em uma pesquisa anterior de 1981."
meninge,,"Fibras predominantemente diversos tipos de colágenos, constituem os tendões, aponeuroses, cápsulas de órgãos, e membranas que envolvem o sistema nervoso central (meninges)."
meningioma,,"Outras condições médicas que afetam as meninges incluem a meningite (podendo esta ser causada por infecção fúngica, bacteriana, ou virótica) e os meningiomas (tumor na meninge) surge nas meninges ou em tumores formados em outra parte do organismo que sofrem metástase para as meninges."
meningite," Inflamação das meninges, especialmente de aracnoide. ","Entre as doenças mais comuns, estão a dengue e a meningite, as quais estão alastrando-se por todo o território baiano e não apenas infectam os baianos, mas também provocam a morte."
menisco, Vidro lenticular. Superfície curva de um líquido contido num tubo capilar. Figura geométrica com um lado convexo e outro côncavo. ,Imagem:Menisco 18mL-2.
menopausa, Cessação do catamênio ou das regras; idade critica da mulher. ,"lt;ref name=&quot;Strier2007&quot; /&gt; No fim da vida, as fêmeas de catarrinos apresentam uma cessação na função reprodutiva, não ovulando mais, um fenômeno conhecido por menopausa: tal processo não foi largamente estudado em outros grupos."
menstruação,,"Porém os médicos especialistas fazem cálculos aproximados a partir do primeiro dia do último período menstrual normal (UPMN), normalmente com informações fornecidas pela gestante, da idade do embrião ou feto, haja vista que o ovócito só é fertilizado cerca de duas semanas depois da menstruação precedente."
mental, Relativo à mente; intelectual. Espiritual: _oração mental_. ,"lt;/ref&gt; discutem um ''gedankenexperiment'' (experimento mental) anterior realizado por Becker e Stigler, no qual foi proposto que a aplicação da lei fosse privatizada e explicam porque consideram que tal sistema não seria economicamente eficiente."
mesa cirúrgica,,"Em um ambiente escuro, o pequeno gafanhoto observava Kouji silenciosamente sobre uma espécie de mesa cirúrgica, onde outros dois seres encapuzados acompanhavam e comandavam a operação."
mesentério," Membrana, em que estão suspensos os intestinos, e que lhes dá mobilidade. ","Não existe uma clara demarcação quanto à divisão entre jejuno e íleo, embora existam diferenças importantes que distinguem os dois, como a parede, que é mais delgada no íleo, assim como a vasa recta se apresenta mais curta, em relação ao jejuno, e a maior deposição de tecido adiposo mesentérico nesta região."
metabolismo, Mudança da natureza molecular dos corpos. ,"Working Group I — Contribution to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change, 2013 As reações químicas do metabolismo animal e vegetal são diretamente influenciadas pela temperatura do meio em que vivem."
metabolito,,"Compostos fenólicos'': a análise consiste na comparação entre a presença de metabolitos secundários, como os flavonóides e antioxidantes."
metacarpo," Parte da mão, entre o carpo e os dedos. ","Na sequência, há os ossos que constituem a palma da mão, chamados de ossos metacarpais, numerados de um a cinco."
metaplasia,,"Outra possível patologia de quem possui doença do refluxo gastroesofágico é o esôfago de Barrett onde o epitélio esofágico acaba por sofrer uma metaplasia para tecido intestinal, caso o estresse causado pela acidez do refluxo permaneçam, é possível que essa metaplasia evolua para uma neoplasia esofágica."
metástase," Figura de retórica, em que um orador lança à conta de outrem as coisas a que ele se refere. Alteração de uma doença, quanto à forma ou quanto à sede. ","Em organismos multicelulares, as células podem se mover durante processos como a desenvolvimento embrionário, assim como na cicatrização de feridas, na manutenção tecidual, no funcionamento do sistema imune e na metástase do câncer."
metemoglobina,,"Para evitar danos e otimizar o transporte de oxigênio para os tecidos, os eritrócitos (ou hemácias) têm uma enzima chamada metemoglobina-redutase, que converte à forma ferrosa (Fe2+) a pequena quantidade de metHb que se forma espontaneamente."
método," Conjunto de processos racionais, para fazer qualquer coisa ou obter qualquer fim teórico ou prático. Modo de proceder. Classificação de diversos seres, segundo os caracteres que os aproximam. Tratado elementar. ","Portugal]] foi um dos últimos países a adotar o novo método, imposto pelo rei Dom João I, a 15 de Agosto de 1422, em substituição da &quot;era de César&quot;."
metrorragia, Hemorragia do útero. ,"html|titulo=Jornal diz que Kelly Key está grávida de 3 meses|publicação=Terra|acessodata= 18 de dezembro de 2010}} Porém, devido a uma metrorragia, Kelly sofreu um aborto espontâneo aos cinco meses de gestação."
micção, Acto de urinar. ,"Estes subprodutos são eventualmente expelidos do corpo em um processo conhecido como micção, o método primário para excretar do corpo substâncias químicas solúveis em água."
micose," Saliência esponjosa, em forma de cogumelo. Princípio açucarado da cravagem do centeio. ","Os organismos envolvidos incluem bactérias patogênicas, causando doenças como peste, tuberculose e antraz; parasitas protozoários, causando doenças como malária, doença do sono, disenteria e toxoplasmose; e também fungos que causam doenças como micose, candidíase ou histoplasmose."
microbiologia, Estudo ou tratado dos micróbios. (Cp. _microbiólogo_) ,Alguns destes organismos &quot;semelhantes a plantas&quot; incluem: fungos (estudados em Micologia); bactérias e vírus (estudados em Microbiologia); e algas (estudadas em Ficologia).
microbioma,,"org/pss/2845499}} Outras pesquisas tem recentemente iniciado a categorizar outros tipos de biomas, como microbioma humano e oceânico."
microcirculação,,"Pesquisas modernas provam que o Tuiná melhora a microcirculação do sangue e do sistema linfático, que traz recuperação mais rápida para as várias lesões dos tecidos moles, tais como o deslocamento e a contusão."
microscopia, Arte de usar o microscópio. Conjunto dos estudos microscópicos. ,Foi o aparecimento da microscopia que permitiu compreender os constituintes básicos dos tecidos vivos.
microscópio," Instrumento, para amplificar e representar próximos os objectos que por ele se observam. ",O músculo liso não apresenta estrias quando observado ao microscópio.
mielina," Substância medular, contida nos tubos nervosos. ",O fornix divide assim o hipotálamo numa '''zona medial''' (pobre em mielina) e uma '''zona lateral''' (rica em mielina).
mielografia,,"text bytes=""1129"" xml:space=""preserve"">A '''mielografia''' é uma técnica através da qual se tira uma radiografia da medula espinal após uma injeção de um meio de contraste radiopaco na zona que se pretende examinar."
mielograma,,"Caso com este não se consiga fazer um diagnóstico totalmente preciso é necessário outros exames mais sofisticados como, por vezes, o mielograma ( usando uma amostra de medula óssea)."
mielopatia, Afecção da medula-espinhal. ,"Uma doença do sistema nervoso central, (mielopatia), impediu-o de tocar durante os últimos 11 anos da sua vida."
migração," Acto de passar de um país para outro, (falando-se de um povo ou de uma grande multidão de gente). Viagens periódicas ou irregulares, feitas por certas espécies de animais. ","lt;ref name=hw34 /&gt; Tais processos são acompanhados por um crescimento significativo da imigração de trabalhadores, com aumentos sem precedentes na migração transoceânica e intracontinental e ao mesmo tempo por um desenvolvimento significativo das tecnologias em geral, em especial dos transportes e das comunicações."
miliar," Que tem forma de grão de milho. Que tem pequenas dimensões, (falando-se de um animal). ",A ''causa mortis'' foi diagnosticada como febre miliar aguda.
mineral," Qualquer substância inorgânica, que se encontra no interior ou na superfície da terra, como metais, pedras, combustíveis. ","O extrativismo mineral tem considerável importância em praticamente todos os países latino-americanos, ainda que muitas vezes a exploração seja realizada graças a capitais estrangeiros."
miocardite, Inflamação da substância muscular do coração. ,"Foi a angina de peito ou uma miocardite a causa da sua morte, em 1325."
mioma," Tumor, formado principalmente de tecido muscular. ","Inicialmente era uma localidade da freguesia de Santa Maria do Sátão e assim se conservou desde o século XII até ao século XVI, em que, dividindo-se a freguesia do Sátão, o Avelal ficou a pertencer à de Mioma."
miosite, Inflamação dos músculos. ,"Em 2019 Peter Frampton anunciou que irá se aposentar dos palcos, após ter sido diagnosticado com miosite por corpúsculos de inclusão, uma doença degenerativa dos músculos que com o passar do tempo, o impedirá de tocar guitarra."
miscigenação,,"A '''história do Afeganistão''' é marcada pela miscigenação e pelo confluir da influência de diversos povos e civilizações asiáticas, devido à sua posição geográfica estratégica, numa zona de transição, de altos conflitos geopolíticos e de movimentos migratórios."
mitocôndria,,"O material genético eucariótico é dividido em diferentes moléculas lineares chamadas cromossomas dentro de um núcleo discreto, geralmente com material genético adicional em algumas organelas como mitocôndrias e cloroplastos."
mitose,,"As fases G1, G2 e S (replicação, dano e reparo do DNA) são consideradas a parte da interfase do ciclo, enquanto a fase M (mitose) é a parte da divisão celular do ciclo."
modalidade, Modo de ser. Restrição de certas proposições. ,estado conta com aproximadamente 21 times de clubes da modalidade.
modelagem, O mesmo que _modelação_. ,"Abrange tópicos como agronomia, melhoramento e genética de plantas, fitopatologia, modelagem de culturas, ciência do solo, entomologia, técnicas de produção e melhoramento, estudo de pragas e seu manejo e estudo de efeitos ambientais adversos, como degradação do solo, gerenciamento de resíduos e biorremediação."
modulação, Acto ou efeito de modular. ,"As células são capazes de sintetizar novas proteínas, essenciais para a modulação e manutenção das atividades celulares."
mola hidatiforme,,"Um exemplo é a '''mola hidatiforme''', que é caracterizada pelo superdesenvolvimento dos tecidos trofoblásticos e pelo extremo subdesenvolvimento do embrião."
molécula," Pequenina parte de um corpo. A mais pequena parte de um corpo, a qual pode existir em liberdade. ","lt;ref name=laidler&gt;{{Harvnb|Laidler|2001|p=324}} Este argumento, que foi feito em 1913 em colaboração com Otto Stern, foi baseado na termodinâmica de uma molécula diatômica que pode se separar em dois átomos livres."
monitor de sinais vitais,,"Ambulâncias SIV''' - Possuem o mesmo material que as ambulâncias SBV, um monitor de sinais vitais, um pace-maker externo, um desfibrilhador manual e uma mala médica com fármacos de emergência e acessórios para a sua preparação."
monitorização,,"A elaboração de um conjunto significativo de mapas de ruído, a aquisição de equipamentos de medição, permite dispor no futuro próximo de instrumentos de monitorização e de apoio ao ordenamento do território."
monocitose,,"A monocitose (aumento de monócitos no sangue), podem ser um indicativo de doenças crônicas como por exemplo, tuberculose, infecção por protozoários e artrite reumatoide, na qual, o paciente apresenta sintomas relacionados à causa da alteração."
mononucleose,,"pdf|formato=PDF|ano=2007|publicado=Organização Mundial da Saúde|local=Genebra|isbn=978-92-4-159562-9}} Muitos indivíduos desenvolvem uma doença semelhante à gripe ou à mononucleose entre duas e quatro semanas após a exposição ao vírus, enquanto outras pessoas não têm sintomas significativos."
morbidade,,"html|título=Cerca de 60 mil pessoas devem visitar cemitérios do Leste de Minas |autor=G1 |data=1/11/2016 |acessodata=30-08-2019 |wayb=20190830163155}} Em 2017, foram registrados {{fmtn|1341}} óbitos por morbidades, dentre os quais as doenças do sistema circulatório representaram a maior causa de mortes (26,54%), seguida pelos tumores (19,53%)."
mortalidade, Qualidade do que é mortal. Obituário. ,html|título=Alliance for Progress|data=2011|publicado=Infoplease|acessodata=6 de novembro de 2011}} Este empréstimo deveria ser utilizado principalmente em cinco áreas: incentivo aos programas de reforma agrária; construção de habitações populares mas de boa qualidade; redução da mortalidade infantil; distribuição equitativa da renda nacional; erradicação do analfabetismo.
motilidade, Faculdade de mover. Força motriz. ,"O reino Animalia, ou metazoários, é constituído por organismos multicelulares que são heterotróficos e móveis (embora alguns tenham evoluído para um estilo de vida estático)."
mucopolissacarídeo,,"As microvilosidades das células epidérmicas do seu corpo secretam uma cutícula fina, composta por fibras de escleroproteínas e mucopolissacarídeos."
mucosa," Membrana, que segrega muco. ",File:Normal gastric mucosa low mag.
mudança, Acto ou efeito de mudar. ,"Sfn|Bancal|1984|p=182}} Entretanto, há aspectos na obra de Proudhon que o distanciam do anarquismo, tais como posturas ambíguas em relação ao processo revolucionário, ora defendendo a violência e a revolução social e ora defendendo um processo gradual de mudança através de cooperativas mutualistas; ao próprio Estado, que em alguns momentos é duramente criticado e em outros considera-se a sua existência, ainda que de maneira descentralizada;{{Sfn|Corrêa|2014|p=155}} além de ter sustentado, em alguns momentos, conciliações entre a burguesia e o proletariado."
mulher,,"Os jogos gladiatórios romanos frequentemente reverenciavam a mitologia clássica, e esta parece ser uma referência à luta de Aquiles contra a rainha amazona Pentesileia, com um toque curioso de mostrar o herói na forma de uma mulher."
multiplicação," Acto ou efeito de multiplicar. Reprodução: _a multiplicação da espécie humana_. Operação aritmética, em que um número chamado _multiplicando_, se repete tantas vezes quantas são as unidades de outro, chamado _multiplicador_. ","O dicionário &quot;Vollständiges Mathematisches Lexicon&quot; (Leipzig, 1747) refere a palavra &quot;Algorithmus&quot;; nesta designação estão combinadas as noções de quatro cálculos aritméticos, nomeadamente a adição, multiplicação, subtração e divisão."
murmúrio vesicular,,"Ausculta: murmúrio vesicular abolido ou reduzido (silêncio), respiração raramente anfórica."
músculo," Órgão carnudo, formado pela reunião de muitas fibras, e que serve para operar movimentos, sob a influência da vontade ou de uma excitação orgânica ou mecânica. ","O coração das aves também apresenta arcos musculares, constituídos por camadas espessas de músculo."
mutação," Mudança, alteração e substituição. Volubilidade, inconstância. Mudança de cenário, nos teatros. ","A mina de sal-gema, localizada em Loulé surgiu aquando da mutação geológica que resultou na separação entre a Europa e África, que criou o mar Mediterrânico, há 250&amp;nbsp;milhões de anos, ainda antes da era Jurássica."
mutiável,,
nádegas,,"jpg|thumb|right|No dia da posse, Jânio desinfetou a cadeira alegando que &quot;nádegas indevidas a usaram&quot;, referindo-se a Fernando Henrique Cardoso."
narcolepsia," Tendência irresistível para o sono, manifestada como sintoma de algumas moléstias. ","Os seres humanos podem sofrer de vários distúrbios do sono, incluindo dissonias como insônia, hipersonia, narcolepsia e apneia do sono; parassonias como sonambulismo e distúrbio comportamental do sono com movimento rápido dos olhos; bruxismo; e distúrbios do sono do ritmo circadiano."
narcose, O mesmo que _narcotismo_. ,"Uma mistura oxigênio-hélio é, às vezes, utilizada por mergulhadores em profundidades superiores a 55 m a fim de evitar que o efeito Paul Bert, um efeito letal do oxigênio em altas pressões, e a narcose por nitrogênio, um efeito que o gás possui além do limiar de sua pressão parcial."
nasal," Relativo ao nariz. Que está no nariz ou faz parte do nariz: _as fossas nasais_. Diz-se do som, da letra ou da sílaba, cuja emissão ou cuja pronúncia é modificada pelo nariz. Fanhoso. ","pdf | arquivodata=2013-02-23 | coautor=Verheyden, Jouventin | acessodata=2016-02-22 | urlmorta=não }} A maior parte das aves apresenta duas narinas externas situadas no bico, geralmente com forma circular, oval ou em corte e ligadas à cavidade nasal no interior do crânio."
náusea," Enjoo ou ânsia, produzida pelo balanço da embarcação, no mar. ","Os seus efeitos secundários incluem náuseas, vómitos, diarreia, menorragia e possibilidade de reações alérgicas."
necropsia, O mesmo que _autópsia_. ,"Silicose]], pois é comum o traficante adicionar talco industrial para aumentar seus lucros, fato verificado em necropsia, exame de hemogramas."
necrose," Estado de um osso ou da parte de um osso, privada de vida. Doença dos vegetais, caracterizada por manchas negras, sob as quais tecidos se decompõem. ","Quando a célula completa seu processo de crescimento e se encontra danificada ou alterada, ela sofre morte celular, por apoptose ou necrose, para eliminar a ameaça que pode causar à sobrevivência do organismo."
nefrectomia, Extirpação total dos rins. ,A nefrectomia também é realizada quando alguém vai doar um rim para transplante renal.
nefrite,,"Manifestações raras incluem meningite aguda, que acontece em aproximadamente 2% de pacientes, hepatite, doença renal, gastrite, proctite, colite ulcerativa, artrite, periostite, neurite do nervo óptico, irite, e uveíte."
nefrologia, Tratado acerca dos rins. ,"Entretanto, segundo censo feito em 2010 pela Sociedade Brasileira de Nefrologia, nos últimos dez anos, a hipertensão passou a ser o principal problema associado ao uso da diálise no Brasil."
nefrologia, Tratado acerca dos rins. ,"Entretanto, segundo censo feito em 2010 pela Sociedade Brasileira de Nefrologia, nos últimos dez anos, a hipertensão passou a ser o principal problema associado ao uso da diálise no Brasil."
nefropatia,,"Enquanto as crianças são mais sensíveis aos efeitos do chumbo no sistema nervoso central, nos adultos as preocupações centram-se na neuropatia periférica, nefropatia crónica e hipertensão."
neonatal,,"Em junho de 2011, o Fundo de População das Nações Unidas divulgou um relatório sobre o estado da obstetrícia do mundo, contendo dados sobre a força de trabalho e as políticas relacionadas com a mortalidade neonatal e materna em 58 países."
neonatologia,,"Serviço de Consultas Externas (Anestesiologia, Cardiologia, Cirurgia Geral, Diabetologia, Dor, Endocrinologia e Nutrição, Gastroenterologia, Ginecologia, Hematologia Clínica, Imunohemoterapia, Infecciologia, Medicina do Trabalho, Medicina Física e de Reabilitação, Medicina Interna, Neurologia, Nefrologia, Neonatologia, Obstetrícia, Oftalmologia, Oncologia Médica, Ortopedia, Otorrinolaringologia, Pneumologia, Psicologia, Psiquiatria Adultos, Psiquiatria da Infância e Adolescência, Senologia, Urologia."
neonatologia,,"Serviço de Consultas Externas (Anestesiologia, Cardiologia, Cirurgia Geral, Diabetologia, Dor, Endocrinologia e Nutrição, Gastroenterologia, Ginecologia, Hematologia Clínica, Imunohemoterapia, Infecciologia, Medicina do Trabalho, Medicina Física e de Reabilitação, Medicina Interna, Neurologia, Nefrologia, Neonatologia, Obstetrícia, Oftalmologia, Oncologia Médica, Ortopedia, Otorrinolaringologia, Pneumologia, Psicologia, Psiquiatria Adultos, Psiquiatria da Infância e Adolescência, Senologia, Urologia."
neoplasia, O mesmo que _neoplastia_. Néoformação patológica. ,"As doenças relacionadas ao sistema circulatório são a principal causa de morte, sendo a segunda causa as doenças de Neoplasia."
nervo," Cada um dos pequenos filamentos, que põem em comunicação o cérebro e a medula espinal com a circunferência do corpo, e que transmitem as sensações ao centro e as vontades à circunferência. Órgão de sensação e movimento nos animais. ","Os tecidos do corpo, incluindo os dos músculos, nervos e pele, são constituídos por células de vários tipos diferentes."
nervoso," Relativo a nervos. Que tem nervos. Que procede dos nervos ou tem a sua sede nos nervos. Enérgico; vigoroso. Excitado, exaltado. Que padece dos nervos. Que tem nervuras salientes. ",jpg|thumb|Tecido nervoso de um nervo periférico.
neuralgia," Doença, caracterizada por dor viva no trajecto de um nervo e das suas ramificações, sem alteração aparente da parte dolorida. ",Este tipo de hérnia é apenas uma causa rara de neuralgia ciática.
neurite, Inflamação de um nervo. ,Principalmente neurite óptica]].
neuroblastoma,,"Leucemia]] (geralmente leucemia linfoblástica aguda) é a forma maligna infantil mais comum (trinta por cento), seguida pelos do sistema nervoso central e neuroblastoma."
neurocirurgia,,"pt/2015/02/20/assento-de-batismo-de-egas-moniz/}} foi um médico, neurocirurgião, pesquisador, professor, político e escritor português."
neurocirurgia,,"pt/2015/02/20/assento-de-batismo-de-egas-moniz/}} foi um médico, neurocirurgião, pesquisador, professor, político e escritor português."
neurologia," Parte da Anatomia, que se ocupa do sistema nervoso. ","Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
neurologia," Parte da Anatomia, que se ocupa do sistema nervoso. ","Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
neurônio,,rowspan=2 align=&quot;center&quot;|&quot;por suas descobertas sobre as funções dos neurônios&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 1932|url=http://www.
