Term,Example Sentence
Mal-estar,"A crítica do cristianismo tornou-se cada vez mais frequente nos séculos XVII e XVIII, principalmente depois do Sismo de Lisboa de 1755, e em especialmente na França e na Inglaterra, onde parece ter existido um mal-estar religioso, de acordo com fontes contemporâneas."
Maligno,"Ele às vezes se referia a si mesmo como um &quot;descrente absoluto&quot;, e uma vez disse a seu gabinete que &quot;o Islã talvez fosse uma religião mais eficaz do que o Cristianismo&quot; e que &quot;o Papado era um tumor maligno no corpo da Itália e precisava ser 'extirpado de uma vez por todas', porque não havia lugar em Roma para o Papa assim como para ele&quot;."
Mamografia,"Na questão da saúde feminina, 28,5% das mulheres com mais de 40 anos fizeram exame clínico das mamas nos últimos doze meses; 45,9% das mulheres entre 50 e 69 anos fizeram exame de mamografia nos últimos dois anos; e 73,3% das mulheres entre 25 e 59 anos fizeram exame preventivo para câncer do colo do útero nos últimos três anos."
Mandíbula,"lt;ref name=divergence/&gt; Muitos destes ancestrais das aves, como o ''Archaeopteryx'', não tinham plena capacidade de voo e muitos apresentavam ainda características primitivas como mandíbula em vez de bico e cauda vertebrada."
Manobra,"Depois desse incidente, ele foi inflado no Jardim da Aclimação de Paris no dia 18 de setembro de 1898, mas acabou rasgado antes de experimentado, devido a uma manobra mal feita pelos ajudantes que em terra seguravam as cordas do aparelho."
Mantoux,"A prova tuberculínica (também conhecida como teste tuberculínico ou teste de Mantoux) está indicada para o diagnóstico da infecção latente, mas também auxilia no diagnóstico da doença em situações especiais, como no caso de crianças com suspeita de tuberculose."
Marcapasso,com/vulnerabilities---threats/hospital-medical-devices-used-as-weapons-in-cyberattacks/d/d-id/1320751|arquivodata=29 de Maio de 2016|df=dmy-all}} e dispositivos implantados incluindo marcapassos{{citar web|url=http://www.
Martelo reflexo,NA
Máscara cirúrgica,"Isso explicaria o uso de máscara cirúrgicas em público, e o vício em remédios contra a dor."
Mastectomia,"Na época, desenvolveu um novo quadro de depressão, e devido a complicações do uso de silicone, desenvolveu um câncer de mama, necessitando realizar uma mastectomia."
Mastite,"htm|obra=Mundo Educação|acessodata=2020-06-07|lingua=pt-br|data=|publicado=|ultimo=Sardinha dos Santos|primeiro=Vanessa}} As doenças bacterianas também são importantes na agricultura, com bactérias que causam manchas nas folhas, queimadas e murchas nas plantas, assim como a doença de Johne, mastite, salmonela e antraz em animais de criação."
Mastócito,"Junto com os mastócitos, também controlam mecanismos associados com a alergia e asma."
Mastologia,"br/Artigos/Brasil/Sa%C3%BAde/Hospitais_que_se_destacam_no_Brasil/}} que, de acordo com a Sociedade Brasileira de Mastologia, atinge cerca de dois mil novos casos anualmente."
Mecanismo,"O primeiro historiador ou cronista a usar o Anno Domini como mecanismo de datação principal foi Vítor de Tununa, escritor africano do {{Séc|VII}}."
Mediastino,Cavidade pericárdica dentro do mediastino e.
Medicação,"harvref|Studart|2006|p=20}} Em 1931 esteve internado em casas de saúde em Biarritz e em Orthez, no sul da França, onde tentou suicidar-se com sobredose de medicação."
Medicamento,"Dentre os produtos industrializados de maior importância são contados a cerveja, impressos, navios, metais, medicamentos e roupas."
Medula,"lt;/ref&gt; O centauro encarregou-se da educação do jovem, alimentou-o com mel de abelhas, medula de ursos e de javalis e vísceras de leões."
Medula óssea,"lt;/ref&gt; O centauro encarregou-se da educação do jovem, alimentou-o com mel de abelhas, medula de ursos e de javalis e vísceras de leões."
Megacólon,"sfn|Humphries|2003|p=79}} A essa altura, já sofria de glaucoma, hipertensão, danos no fígado e megacólon, cada um ampliado — e possivelmente causado — pelo abuso de medicamentos."
Melanina,"Os castanhos e os pretos são causados por melaninas sintetizadas pela ave e depositados em grânulos, enquanto os amarelos, laranjas e vermelhos são causados por carotenoides com origem na dieta e difundidos pela pele e penas."
Melanoma,"Em 2012, cerca de 14,1 milhões de novos casos de câncer ocorreram globalmente (excluindo casos de câncer de pele que não seja melanoma)."
Membrana,O autor procura mostrar que os tímpanos de Stephen Jay Gould na realidade não existem e são de facto exaptações.
Menarca,"lt;/ref&gt; Schmid-Tannwald e Kluge registraram uma tendência entre as meninas de terem a menarca aproximadamente 1,3 anos mais cedo do que em uma pesquisa anterior de 1981."
Meninge,"Fibras predominantemente diversos tipos de colágenos, constituem os tendões, aponeuroses, cápsulas de órgãos, e membranas que envolvem o sistema nervoso central (meninges)."
Meningioma,"Outras condições médicas que afetam as meninges incluem a meningite (podendo esta ser causada por infecção fúngica, bacteriana, ou virótica) e os meningiomas (tumor na meninge) surge nas meninges ou em tumores formados em outra parte do organismo que sofrem metástase para as meninges."
Meningite,"Entre as doenças mais comuns, estão a dengue e a meningite, as quais estão alastrando-se por todo o território baiano e não apenas infectam os baianos, mas também provocam a morte."
Menisco,Imagem:Menisco 18mL-2.
Menopausa,"lt;ref name=&quot;Strier2007&quot; /&gt; No fim da vida, as fêmeas de catarrinos apresentam uma cessação na função reprodutiva, não ovulando mais, um fenômeno conhecido por menopausa: tal processo não foi largamente estudado em outros grupos."
Menstruação,"Porém os médicos especialistas fazem cálculos aproximados a partir do primeiro dia do último período menstrual normal (UPMN), normalmente com informações fornecidas pela gestante, da idade do embrião ou feto, haja vista que o ovócito só é fertilizado cerca de duas semanas depois da menstruação precedente."
Mental,"lt;/ref&gt; discutem um ''gedankenexperiment'' (experimento mental) anterior realizado por Becker e Stigler, no qual foi proposto que a aplicação da lei fosse privatizada e explicam porque consideram que tal sistema não seria economicamente eficiente."
Mesa cirúrgica,"Em um ambiente escuro, o pequeno gafanhoto observava Kouji silenciosamente sobre uma espécie de mesa cirúrgica, onde outros dois seres encapuzados acompanhavam e comandavam a operação."
Mesentério,"Não existe uma clara demarcação quanto à divisão entre jejuno e íleo, embora existam diferenças importantes que distinguem os dois, como a parede, que é mais delgada no íleo, assim como a vasa recta se apresenta mais curta, em relação ao jejuno, e a maior deposição de tecido adiposo mesentérico nesta região."
Metabolismo,"Working Group I — Contribution to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change, 2013 As reações químicas do metabolismo animal e vegetal são diretamente influenciadas pela temperatura do meio em que vivem."
Metabolito,"Compostos fenólicos'': a análise consiste na comparação entre a presença de metabolitos secundários, como os flavonóides e antioxidantes."
Metacarpo,"Na sequência, há os ossos que constituem a palma da mão, chamados de ossos metacarpais, numerados de um a cinco."
Metaplasia,"Outra possível patologia de quem possui doença do refluxo gastroesofágico é o esôfago de Barrett onde o epitélio esofágico acaba por sofrer uma metaplasia para tecido intestinal, caso o estresse causado pela acidez do refluxo permaneçam, é possível que essa metaplasia evolua para uma neoplasia esofágica."
Metástase,"Em organismos multicelulares, as células podem se mover durante processos como a desenvolvimento embrionário, assim como na cicatrização de feridas, na manutenção tecidual, no funcionamento do sistema imune e na metástase do câncer."
Metemoglobina,"Para evitar danos e otimizar o transporte de oxigênio para os tecidos, os eritrócitos (ou hemácias) têm uma enzima chamada metemoglobina-redutase, que converte à forma ferrosa (Fe2+) a pequena quantidade de metHb que se forma espontaneamente."
Método,"Portugal]] foi um dos últimos países a adotar o novo método, imposto pelo rei Dom João I, a 15 de Agosto de 1422, em substituição da &quot;era de César&quot;."
Metrorragia,"html|titulo=Jornal diz que Kelly Key está grávida de 3 meses|publicação=Terra|acessodata= 18 de dezembro de 2010}} Porém, devido a uma metrorragia, Kelly sofreu um aborto espontâneo aos cinco meses de gestação."
Micção,"Estes subprodutos são eventualmente expelidos do corpo em um processo conhecido como micção, o método primário para excretar do corpo substâncias químicas solúveis em água."
Micose,"Os organismos envolvidos incluem bactérias patogênicas, causando doenças como peste, tuberculose e antraz; parasitas protozoários, causando doenças como malária, doença do sono, disenteria e toxoplasmose; e também fungos que causam doenças como micose, candidíase ou histoplasmose."
Microbiologia,Alguns destes organismos &quot;semelhantes a plantas&quot; incluem: fungos (estudados em Micologia); bactérias e vírus (estudados em Microbiologia); e algas (estudadas em Ficologia).
Microbioma,"org/pss/2845499}} Outras pesquisas tem recentemente iniciado a categorizar outros tipos de biomas, como microbioma humano e oceânico."
Microcirculação,"Pesquisas modernas provam que o Tuiná melhora a microcirculação do sangue e do sistema linfático, que traz recuperação mais rápida para as várias lesões dos tecidos moles, tais como o deslocamento e a contusão."
Microscopia,Foi o aparecimento da microscopia que permitiu compreender os constituintes básicos dos tecidos vivos.
Microscópio,O músculo liso não apresenta estrias quando observado ao microscópio.
Mielina,O fornix divide assim o hipotálamo numa '''zona medial''' (pobre em mielina) e uma '''zona lateral''' (rica em mielina).
Mielografia,"text bytes=""1129"" xml:space=""preserve"">A '''mielografia''' é uma técnica através da qual se tira uma radiografia da medula espinal após uma injeção de um meio de contraste radiopaco na zona que se pretende examinar."
Mielograma,"Caso com este não se consiga fazer um diagnóstico totalmente preciso é necessário outros exames mais sofisticados como, por vezes, o mielograma ( usando uma amostra de medula óssea)."
Mielopatia,"Uma doença do sistema nervoso central, (mielopatia), impediu-o de tocar durante os últimos 11 anos da sua vida."
Migração,"lt;ref name=hw34 /&gt; Tais processos são acompanhados por um crescimento significativo da imigração de trabalhadores, com aumentos sem precedentes na migração transoceânica e intracontinental e ao mesmo tempo por um desenvolvimento significativo das tecnologias em geral, em especial dos transportes e das comunicações."
Miliar,A ''causa mortis'' foi diagnosticada como febre miliar aguda.
Mineral,"O extrativismo mineral tem considerável importância em praticamente todos os países latino-americanos, ainda que muitas vezes a exploração seja realizada graças a capitais estrangeiros."
Miocardite,"Foi a angina de peito ou uma miocardite a causa da sua morte, em 1325."
Mioma,"Inicialmente era uma localidade da freguesia de Santa Maria do Sátão e assim se conservou desde o século XII até ao século XVI, em que, dividindo-se a freguesia do Sátão, o Avelal ficou a pertencer à de Mioma."
Miosite,"Em 2019 Peter Frampton anunciou que irá se aposentar dos palcos, após ter sido diagnosticado com miosite por corpúsculos de inclusão, uma doença degenerativa dos músculos que com o passar do tempo, o impedirá de tocar guitarra."
Miscigenação,"A '''história do Afeganistão''' é marcada pela miscigenação e pelo confluir da influência de diversos povos e civilizações asiáticas, devido à sua posição geográfica estratégica, numa zona de transição, de altos conflitos geopolíticos e de movimentos migratórios."
Mitocôndria,"O material genético eucariótico é dividido em diferentes moléculas lineares chamadas cromossomas dentro de um núcleo discreto, geralmente com material genético adicional em algumas organelas como mitocôndrias e cloroplastos."
Mitose,"As fases G1, G2 e S (replicação, dano e reparo do DNA) são consideradas a parte da interfase do ciclo, enquanto a fase M (mitose) é a parte da divisão celular do ciclo."
Modalidade,estado conta com aproximadamente 21 times de clubes da modalidade.
Modelagem,"Abrange tópicos como agronomia, melhoramento e genética de plantas, fitopatologia, modelagem de culturas, ciência do solo, entomologia, técnicas de produção e melhoramento, estudo de pragas e seu manejo e estudo de efeitos ambientais adversos, como degradação do solo, gerenciamento de resíduos e biorremediação."
Modulação,"As células são capazes de sintetizar novas proteínas, essenciais para a modulação e manutenção das atividades celulares."
Mola hidatiforme,"Um exemplo é a '''mola hidatiforme''', que é caracterizada pelo superdesenvolvimento dos tecidos trofoblásticos e pelo extremo subdesenvolvimento do embrião."
Molécula,"lt;ref name=laidler&gt;{{Harvnb|Laidler|2001|p=324}} Este argumento, que foi feito em 1913 em colaboração com Otto Stern, foi baseado na termodinâmica de uma molécula diatômica que pode se separar em dois átomos livres."
Monitor de sinais vitais,"Ambulâncias SIV''' - Possuem o mesmo material que as ambulâncias SBV, um monitor de sinais vitais, um pace-maker externo, um desfibrilhador manual e uma mala médica com fármacos de emergência e acessórios para a sua preparação."
Monitorização,"A elaboração de um conjunto significativo de mapas de ruído, a aquisição de equipamentos de medição, permite dispor no futuro próximo de instrumentos de monitorização e de apoio ao ordenamento do território."
Monocitose,"A monocitose (aumento de monócitos no sangue), podem ser um indicativo de doenças crônicas como por exemplo, tuberculose, infecção por protozoários e artrite reumatoide, na qual, o paciente apresenta sintomas relacionados à causa da alteração."
Mononucleose,"pdf|formato=PDF|ano=2007|publicado=Organização Mundial da Saúde|local=Genebra|isbn=978-92-4-159562-9}} Muitos indivíduos desenvolvem uma doença semelhante à gripe ou à mononucleose entre duas e quatro semanas após a exposição ao vírus, enquanto outras pessoas não têm sintomas significativos."
Morbidade,"html|título=Cerca de 60 mil pessoas devem visitar cemitérios do Leste de Minas |autor=G1 |data=1/11/2016 |acessodata=30-08-2019 |wayb=20190830163155}} Em 2017, foram registrados {{fmtn|1341}} óbitos por morbidades, dentre os quais as doenças do sistema circulatório representaram a maior causa de mortes (26,54%), seguida pelos tumores (19,53%)."
Mortalidade,html|título=Alliance for Progress|data=2011|publicado=Infoplease|acessodata=6 de novembro de 2011}} Este empréstimo deveria ser utilizado principalmente em cinco áreas: incentivo aos programas de reforma agrária; construção de habitações populares mas de boa qualidade; redução da mortalidade infantil; distribuição equitativa da renda nacional; erradicação do analfabetismo.
Motilidade,"O reino Animalia, ou metazoários, é constituído por organismos multicelulares que são heterotróficos e móveis (embora alguns tenham evoluído para um estilo de vida estático)."
Mucopolissacarídeo,"As microvilosidades das células epidérmicas do seu corpo secretam uma cutícula fina, composta por fibras de escleroproteínas e mucopolissacarídeos."
Mucosa,File:Normal gastric mucosa low mag.
Mudança,"Sfn|Bancal|1984|p=182}} Entretanto, há aspectos na obra de Proudhon que o distanciam do anarquismo, tais como posturas ambíguas em relação ao processo revolucionário, ora defendendo a violência e a revolução social e ora defendendo um processo gradual de mudança através de cooperativas mutualistas; ao próprio Estado, que em alguns momentos é duramente criticado e em outros considera-se a sua existência, ainda que de maneira descentralizada;{{Sfn|Corrêa|2014|p=155}} além de ter sustentado, em alguns momentos, conciliações entre a burguesia e o proletariado."
Mulher,"Os jogos gladiatórios romanos frequentemente reverenciavam a mitologia clássica, e esta parece ser uma referência à luta de Aquiles contra a rainha amazona Pentesileia, com um toque curioso de mostrar o herói na forma de uma mulher."
Multiplicação,"O dicionário &quot;Vollständiges Mathematisches Lexicon&quot; (Leipzig, 1747) refere a palavra &quot;Algorithmus&quot;; nesta designação estão combinadas as noções de quatro cálculos aritméticos, nomeadamente a adição, multiplicação, subtração e divisão."
Murmúrio vesicular,"Ausculta: murmúrio vesicular abolido ou reduzido (silêncio), respiração raramente anfórica."
Músculo,"O coração das aves também apresenta arcos musculares, constituídos por camadas espessas de músculo."
Mutação,"A mina de sal-gema, localizada em Loulé surgiu aquando da mutação geológica que resultou na separação entre a Europa e África, que criou o mar Mediterrânico, há 250&amp;nbsp;milhões de anos, ainda antes da era Jurássica."
Mutiável,NA
Nádegas,"jpg|thumb|right|No dia da posse, Jânio desinfetou a cadeira alegando que &quot;nádegas indevidas a usaram&quot;, referindo-se a Fernando Henrique Cardoso."
Narcolepsia,"Os seres humanos podem sofrer de vários distúrbios do sono, incluindo dissonias como insônia, hipersonia, narcolepsia e apneia do sono; parassonias como sonambulismo e distúrbio comportamental do sono com movimento rápido dos olhos; bruxismo; e distúrbios do sono do ritmo circadiano."
Narcose,"Uma mistura oxigênio-hélio é, às vezes, utilizada por mergulhadores em profundidades superiores a 55 m a fim de evitar que o efeito Paul Bert, um efeito letal do oxigênio em altas pressões, e a narcose por nitrogênio, um efeito que o gás possui além do limiar de sua pressão parcial."
Nasal,"pdf | arquivodata=2013-02-23 | coautor=Verheyden, Jouventin | acessodata=2016-02-22 | urlmorta=não }} A maior parte das aves apresenta duas narinas externas situadas no bico, geralmente com forma circular, oval ou em corte e ligadas à cavidade nasal no interior do crânio."
Náusea,"Os seus efeitos secundários incluem náuseas, vómitos, diarreia, menorragia e possibilidade de reações alérgicas."
Necropsia,"Silicose]], pois é comum o traficante adicionar talco industrial para aumentar seus lucros, fato verificado em necropsia, exame de hemogramas."
Necrose,"Quando a célula completa seu processo de crescimento e se encontra danificada ou alterada, ela sofre morte celular, por apoptose ou necrose, para eliminar a ameaça que pode causar à sobrevivência do organismo."
Nefrectomia,A nefrectomia também é realizada quando alguém vai doar um rim para transplante renal.
Nefrite,"Manifestações raras incluem meningite aguda, que acontece em aproximadamente 2% de pacientes, hepatite, doença renal, gastrite, proctite, colite ulcerativa, artrite, periostite, neurite do nervo óptico, irite, e uveíte."
Nefrologia,"Entretanto, segundo censo feito em 2010 pela Sociedade Brasileira de Nefrologia, nos últimos dez anos, a hipertensão passou a ser o principal problema associado ao uso da diálise no Brasil."
Nefropatia,"Enquanto as crianças são mais sensíveis aos efeitos do chumbo no sistema nervoso central, nos adultos as preocupações centram-se na neuropatia periférica, nefropatia crónica e hipertensão."
Neonatal,"Em junho de 2011, o Fundo de População das Nações Unidas divulgou um relatório sobre o estado da obstetrícia do mundo, contendo dados sobre a força de trabalho e as políticas relacionadas com a mortalidade neonatal e materna em 58 países."
Neonatologia,"Serviço de Consultas Externas (Anestesiologia, Cardiologia, Cirurgia Geral, Diabetologia, Dor, Endocrinologia e Nutrição, Gastroenterologia, Ginecologia, Hematologia Clínica, Imunohemoterapia, Infecciologia, Medicina do Trabalho, Medicina Física e de Reabilitação, Medicina Interna, Neurologia, Nefrologia, Neonatologia, Obstetrícia, Oftalmologia, Oncologia Médica, Ortopedia, Otorrinolaringologia, Pneumologia, Psicologia, Psiquiatria Adultos, Psiquiatria da Infância e Adolescência, Senologia, Urologia."
Neoplasia,"As doenças relacionadas ao sistema circulatório são a principal causa de morte, sendo a segunda causa as doenças de Neoplasia."
Nervo,"Os tecidos do corpo, incluindo os dos músculos, nervos e pele, são constituídos por células de vários tipos diferentes."
Nervoso,jpg|thumb|Tecido nervoso de um nervo periférico.
Neuralgia,Este tipo de hérnia é apenas uma causa rara de neuralgia ciática.
Neurite,Principalmente neurite óptica]].
Neuroblastoma,"Leucemia]] (geralmente leucemia linfoblástica aguda) é a forma maligna infantil mais comum (trinta por cento), seguida pelos do sistema nervoso central e neuroblastoma."
Neurocirurgia,"pt/2015/02/20/assento-de-batismo-de-egas-moniz/}} foi um médico, neurocirurgião, pesquisador, professor, político e escritor português."
Neurologia,"Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
Neurônio,rowspan=2 align=&quot;center&quot;|&quot;por suas descobertas sobre as funções dos neurônios&quot;{{citar web|título=The Nobel Prize in Physiology or Medicine 1932|url=http://www.
Neuropatia,O uso prolongado pode causar neuropatia periférica.
Neurose,"lt;/ref&gt; O psicólogo e ex-tradutor das Organização das Nações Unidas, Claude Piron (Bélgica, 1931 - 22 de janeiro de 2008), dedicou-se à temática, abordando-a sob um ponto de vista psicológico a partir de vastíssimo material bibliográfico e documental, tratando a insistência no atual modelo de comunicação internacional como uma neurose."
Neurotransmissor,"Todos esses mecanismos citados são de extrema importância para a transmissão de impulsos nervosos, pois está associada a liberação do neurotransmissor acetilcolina  ."
Neutrofilia,Pode haver neutrofilia.
Nictúria,A primeira manifestação do diabetes insípido costuma ser nictúria pela perda de capacidade de concentração da urina no período da noite.
Nidação,"x | número=3}} Durante a nidação, as aves marinhas também afetam significativamente a ecologia das ilhas e do mar envolvente, principalmente devido à concentração de grandes quantidades de guano que enriquece o solo da região."
Nistagmo,"lt;ref name=&quot;Bartoloni 2012&quot;/&gt; Os indivíduos com ‘’’malária cerebral’’’ apresentam muitas vezes sintomas neurológicos, entre os quais postura anormal, nistagmo, paralisia do olhar conjugado (incapacidade de mover em conjunto os olhos na mesma direção), opistótono, convulsões ou coma."
Nitrogênio,"Interferem no ritmo das estações e nos ciclos da água, do carbono, do nitrogênio e outros compostos."
Nível,"Estas faixas desaparecem à proporção em que reduz o distanciamento relacionado ao polo sul, em que mesmo ao nível do mar já se localizam regiões continuamente frias."
Nódulo,"Em alguns gêneros epífitas, particularmente em alguns gêneros relacionados às ''Huntleya'' o caule secundário aéreo encontra-se reduzido a um nódulo ínfimo que origina as folhas."
Nomenclatura,"A '''arara-azul-grande'''Vocabulário Ortográfico da Língua Portuguesa (VOLP), verbete ''arara-grande-azul'' (nome científico: ''Anodorhynchus hyacinthinus''), também conhecida popularmente como '''arara-preta''', '''araraúna''', '''arara-hiacinta''', '''arara-jacinto''', '''araruna''' ou somente '''arara-azul''', é a maior espécie de arara (tribo dos arinos, ''Arini'') da família dos psitacídeos (''Psittacidae'') se comparado às outras três espécies de araras-azuis tipicamente sul-americanas — a arara-azul-de-lear (''Anodorhynchus leari''), a arara-azul-pequena (''Anodorhynchus glaucus'') e a ararinha-azul (''Cyanopsitta spixiii'')."
Norma,"Julio Bocca]], Jorge Donn, José Neglia e Norma Fontenla são alguns dos grandes bailarinos da era moderna."
Normal,"br/produtos/visualg|titulo=VisuAlg|data=|acessodata=|publicado=|ultimo=|primeiro=}} O VisuAlg é um programa que edita, interpreta e executa algoritmos com uma linguagem próxima do português estruturado como um programa normal de computador."
Nosologia,Somente quando todos esses níveis são conhecidos pode-se falar de nosologia.
Notalgia,NA
Nucleotí,NA
Nucleotídeo,"Estes incluem: (1) reparo de excisão de nucleotídeo, (2) reparo de incompatibilidade de DNA, (3) junção de extremidade não homóloga de quebras de fita dupla, (4) reparo recombinacional e (5) reparo dependente de luz (fotoreativação)."
Nulípara,"Este período fértil ocorre a cada 4 ou 6 meses, entretanto, em fêmeas nulíparas, ele pode ocorrer a cada 6 semanas."
Nutrição,"esperado o aumento na incidência e mudanças na distribuição geográfica de várias doenças, especialmente as cardiorrespiratórias, as infecciosas e as ligadas à má nutrição, elevando significativamente os custos com a assistência médica e social."
Nutriente,bastante exigente em nutrientes.
Obesidade,lt;/ref&gt; A Austrália tem uma das percentagens mais elevadas de obesidade entre os cidadãos das nações desenvolvidas;{{citar web|url=http://www.
Obituário,"Um dos fundadores do movimento cinematográfico conhecido como Nouvelle VagueObituário ''Variety'', 24 de outubro de 1984."
Obstetrícia,"Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
Obstrução,"Em 1979, como resultado de investigações do FBI durante a ''Operação Branca de Neve, onze pessoas seniores no Gabinete do Guardião da igreja foram condenados por obstrução da justiça, roubo de escritórios do governo e roubo de documentos de propriedade do governo."
Obturador,"Por exemplo, a exposição varia segundo a abertura (que determina a quantidade de luz) multiplicado pela velocidade do obturador (que determina um tempo de exposição), o que varia o tom da foto, a profundidade de campo fotográfico e o grau de corte temporal do modelo fotografado."
Oclusão,"HarvRef|Edgerton|2009|p=159}} Apesar de não ser a primeira pessoa a observar a Lua através de um telescópio (o matemático inglês Thomas Harriot já havia feito isso quatro meses antes, mas apenas viu uma &quot;mancha estranha&quot;),{{HarvRef|Edgerton|2009|p=155}} Galileu foi o primeiro a deduzir a causa da desigual como a oclusão de luz das montanhas e crateras lunares."
Odontologia,"br/public_html/verbetes/index/F|arquivodata=2 de Novembro de 2011|urlmorta=yes}} Depois essas duas faculdades, e mais as de odontologia, medicina, engenharia e serviço social uniram-se para formar a Universidade Federal de Alagoas."
Oftalmologia,"pdf|data=2010-04-23}}, e fornece a maioria de seus serviços gratuitamente no ponto de uso, embora haja algumas taxas para algumas pessoas por exames oftalmológicos, atendimento odontológico, prescrições e aspectos de cuidados pessoais."
Oftalmoscopia,"Durante um exame físico, pode-se suspeitar de hipertensão caso se verifique retinopatia hipertensiva durante a observação do fundo do globo ocular através da oftalmoscopia."
Oftalmoscópio,"Possui também grandes contribuições ao estudo da fisiologia da visão e audição, entre as quais o invento do oftalmoscópio e contribuições a teoria da cor."
Oligodendrócito,"Os tipos de células da macroglia são astrócitos, oligodendrócitos e células de Schwann, ambos formados a partir de glioblastos, ''Treccani Dizionario di Medicina'' (2010)."
Oligomenorreia,"A anovulação resulta em menstruação irregular, amenorreia ou oligomenorreia e infertilidade."
Oligúria,"São observados desidratação, catarata, hepatomegalia, vômito, oligúria, depressão e coma."
Ombro,"Por exemplo, levantar os braços é uma abdução do ombro."
omia,lt;ref&gt;{{Citar web |url=http://omia.
Oncogênese,"Durante 1966-1967, ele publicou vários outros artigos sobre o assunto, incluindo um artigo resumindo a relevância dos antígenos Hu-1 para oncogênese e transplante, desenvolvimento do uso de plaquetas teste de fixação de complementação para identificar quais antígenos estão presentes, e a descoberta de que Hu-1 é homólogo ao complexo H-2 de camundongo, que também atua na histocompatibilidade."
Oncologia,"net/Artigos/Novo-instituto-oncologico-angolano-quer-ser-instituicao-de-referencia-no-continente=004333|título=Novo instituto oncológico angolano quer ser instituição de referência no continente|data=11-09-2014|publicado=Ver Angola|wayb=20141006134912|urlmorta=sim}} O objectivo deste novo centro é assegurar a assistência médica e medicamentosa em oncologia, a implementação de políticas, programas e planos nacionais de prevenção, bem como o tratamento especializado."
Ondas de choque,"Uma das hipóteses de sua origem seria que as ondas de choque geradas pelo impacto na bacia Caloris viajaram em torno do planeta, convergindo na antípoda da bacia."
Ooforectomia,O ato consiste na extirpação das gônadas (gonadectomia): testículos na castração masculina (orquiectomia);  ovários na castração feminina (ooforectomia).
Opióide,"agonista opióide muito fraco, usado em dores agudas e crónicas moderadas."
Oral,"quot;Kleos Aphthiton and Oral Theory,&quot; ''Classical Quarterly'', 38 (1988): pp."
Orquiectomia,O ato consiste na extirpação das gônadas (gonadectomia): testículos na castração masculina (orquiectomia);  ovários na castração feminina (ooforectomia).
Ortopedia,"Referência nas áreas de trauma, neurocirurgia, neurologia, cirurgia geral, clínica médica e ortopedia, possui 704 leitos registrados no Ministério da Saúde (MS) para atender a demanda que lhe é submetida."
Ortopneia,"lt;ref name=NICEChp1/&gt; A falta de ar geralmente agrava-se com o exercício físico ou em posição deitada, e é capaz de acordar a pessoa durante a noite."
Osso,"Aves''' são uma classe de seres vivos vertebrados endotérmicos caracterizada pela presença de penas, um bico sem dentes, oviparidade de casca rígida, elevado metabolismo, um coração com quatro câmaras e um esqueleto pneumático resistente e leve."
Osteíte,"lt;ref name=&quot;placar1342&quot;/&gt; Seu rendimento foi prejudicado por pubalgias, que lhe fizeram ficar fora dos gramados duas vezes por mais de um mês."
Osteoartrite,"A artrose é também conhecida como osteoartrose, osteoartrite, artrite degenerativa e doença articular degenerativa, é uma doença reumática que incide principalmente nas articulações dos joelhos, coluna, quadril, mãos e dedos."
Osteoblasto,"Os osteoblastos são responsáveis pela produção da parte orgânica da matriz, ou seja, colágeno tipo I, proteoglicanas e glicoproteínas."
Osteoclasto,"Granulócito neutrófilo|Neutrófilos]] , macrófagos , monócitos , células dendríticas , osteoclastos e eosinófilos podem ser classificados como fagócitos profissionais."
Osteogênese,"Durante a sétima semana, a substituição dessa cartilagem por tecido ósseo (denomininada osteogênese) se inicia, com o estabelecimento de centros de ossificação primária, isto é, locais nos quais o tecido ósseo se deposita ainda na vida intrauterina."
Osteologia,"pt/rdpc/bitstream/10174/10410/1/Osteologia%20das%20aves,%20Rom%C3%A3o%202011."
Osteomalacia,"As pessoas com deficiência de vitamina D apresentam um risco acrescido de desenvolver problemas na mineralização dos ossos, como o raquitismo em crianças ou osteomalacia em adultos."
Osteopatia,"Nos Estados Unidos e Canadá, assim como em Portugal, o curso de medicina também é uma pós-graduação ''stricto sensu,'' sendo que antes do indivíduo ingressar na pós-graduação em medicina (MD) ou medicina osteopática (DO), deve ter feito graduações que envolvam conteúdos das áreas de ciências que na maioria das vezes são graduados em biologia, química, física, entre outros, desde que contenham o mínimo de matérias biológicas equivalentes exigidas."
Osteoporose,"Foi comprovado que o consumo não moderado de álcool está associado a um maior risco de doença de Alzheimer e outras doenças senis, angina de peito, fraturas e osteoporose, diabetes, úlcera duodenal, cálculo biliar, hepatite A, linfomas, pedras nos rins, Transtorno Bipolar, síndrome metabólica, câncer no pâncreas, doença de Parkinson, artrite reumática e gastrite."
Ostomia,"org/ostomia|titulo=ostomia|acessodata=2022-11-04|website=Dicionário Priberam|lingua=pt-br}}, '''Estomia'''{{Citar web|ultimo=S."
